date,avg_temp_max_celsius,avg_temp_min_celsius,avg_temp_mean_celsius,avg_temp_range_celsius,total_precipitation_mm,avg_precipitation_mm,max_wind_speed_kmh,avg_wind_speed_kmh,rainy_city_count,hot_city_count,cold_city_count,day_of_week,is_weekend,month,season,temp_extreme_flag,temp_deviation_from_18,comfort_gap_celsius,wet_day_flag
2025-05-25,14.9,6.7,10.799999999999999,8.200000000000001,9.7,3.233333333333333,21.2,17.966666666666665,3,0,0,Sunday,1,5,Spring,0,7.200000000000001,-7.200000000000001,1
2025-05-26,19.333333333333332,8.0,13.666666666666666,11.333333333333334,0.30000000000000004,0.10000000000000002,18.4,15.066666666666668,2,0,0,Monday,0,5,Spring,0,4.333333333333334,-4.333333333333334,1
2025-05-27,20.46666666666667,9.166666666666666,14.816666666666668,11.299999999999999,0.0,0.0,12.2,10.9,0,0,0,Tuesday,0,5,Spring,0,3.183333333333332,-3.183333333333332,0
2025-05-28,17.266666666666666,9.633333333333333,13.450000000000001,7.633333333333333,17.1,5.7,23.8,20.233333333333334,3,0,0,Wednesday,0,5,Spring,0,4.549999999999999,-4.549999999999999,1
2025-05-29,18.0,10.633333333333333,14.316666666666668,7.366666666666667,25.2,8.4,15.7,14.5,3,0,0,Thursday,0,5,Spring,0,3.683333333333332,-3.683333333333332,1
2025-05-30,22.0,10.5,16.25,11.5,4.6000000000000005,1.5333333333333334,17.7,16.3,3,0,0,Friday,0,5,Spring,0,1.75,-1.75,1
2025-05-31,12.299999999999999,8.299999999999999,10.299999999999999,4.0,1.5999999999999999,0.5333333333333333,31.6,29.566666666666666,3,0,0,Saturday,1,5,Spring,0,7.700000000000001,-7.700000000000001,1
2025-06-01,14.166666666666666,7.033333333333334,10.6,7.133333333333333,0.4,0.13333333333333333,25.4,24.766666666666666,2,0,0,Sunday,1,6,Summer,0,7.4,-7.4,1
2025-06-02,21.233333333333334,6.533333333333334,13.883333333333333,14.700000000000001,0.0,0.0,16.3,13.799999999999999,0,0,0,Monday,0,6,Summer,0,4.116666666666667,-4.116666666666667,0
2025-06-03,25.366666666666664,11.966666666666667,18.666666666666668,13.4,0.0,0.0,22.0,20.466666666666665,0,1,0,Tuesday,0,6,Summer,1,0.6666666666666679,0.6666666666666679,0
2025-06-04,28.433333333333334,16.0,22.21666666666667,12.433333333333332,2.5,0.8333333333333334,26.0,23.96666666666667,3,3,0,Wednesday,0,6,Summer,1,4.216666666666669,4.216666666666669,1
2025-06-05,21.2,13.866666666666667,17.533333333333335,7.333333333333333,48.0,16.0,16.6,13.633333333333335,3,0,0,Thursday,0,6,Summer,0,0.466666666666665,-0.466666666666665,1
