date,city,latitude,longitude,timezone,temp_max_celsius,temp_min_celsius,precipitation_mm,wind_speed_max_kmh,source_file,temp_range_celsius
2025-04-19,oshawa,43.90158,-79.09091,America/Toronto,20.7,6.0,2.3,24.4,oshawa_weather_2026-04-12T17-07-49.json,14.7
2025-04-19,toronto,43.690685,-79.41174,America/Toronto,20.0,6.6,20.4,20.7,toronto_weather_2026-04-12T17-07-49.json,13.4
2025-04-20,barrie,44.393673,-79.66312,America/Toronto,9.9,-0.9,0.0,21.0,barrie_weather_2026-04-12T17-07-49.json,10.8
2025-04-20,oshawa,43.90158,-79.09091,America/Toronto,11.1,0.9,0.0,22.7,oshawa_weather_2026-04-12T17-07-49.json,10.2
2025-04-20,toronto,43.690685,-79.41174,America/Toronto,8.9,1.4,0.0,16.7,toronto_weather_2026-04-12T17-07-49.json,7.5
2025-04-21,barrie,44.393673,-79.66312,America/Toronto,16.0,4.6,8.8,25.9,barrie_weather_2026-04-12T17-07-49.json,11.4
2025-04-21,oshawa,43.90158,-79.09091,America/Toronto,12.1,3.8,1.9,25.8,oshawa_weather_2026-04-12T17-07-49.json,8.3
2025-04-21,toronto,43.690685,-79.41174,America/Toronto,15.4,4.2,1.9,24.4,toronto_weather_2026-04-12T17-07-49.json,11.2
2025-04-22,barrie,44.393673,-79.66312,America/Toronto,8.4,3.4,0.0,29.0,barrie_weather_2026-04-12T17-07-49.json,5.0
2025-04-22,oshawa,43.90158,-79.09091,America/Toronto,13.2,4.8,0.0,26.2,oshawa_weather_2026-04-12T17-07-49.json,8.399999999999999
2025-04-22,toronto,43.690685,-79.41174,America/Toronto,13.7,6.1,0.0,24.1,toronto_weather_2026-04-12T17-07-49.json,7.6
2025-04-23,barrie,44.393673,-79.66312,America/Toronto,15.1,1.4,0.0,9.6,barrie_weather_2026-04-12T17-07-49.json,13.7
2025-04-23,oshawa,43.90158,-79.09091,America/Toronto,13.9,0.3,0.0,11.2,oshawa_weather_2026-04-12T17-07-49.json,13.6
2025-04-23,toronto,43.690685,-79.41174,America/Toronto,13.6,3.5,0.0,9.3,toronto_weather_2026-04-12T17-07-49.json,10.1
2025-04-24,barrie,44.393673,-79.66312,America/Toronto,20.4,6.9,3.4,14.3,barrie_weather_2026-04-12T17-07-49.json,13.499999999999998
2025-04-24,oshawa,43.90158,-79.09091,America/Toronto,21.0,5.2,0.0,12.3,oshawa_weather_2026-04-12T17-07-49.json,15.8
2025-04-24,toronto,43.690685,-79.41174,America/Toronto,20.7,6.8,0.8,12.7,toronto_weather_2026-04-12T17-07-49.json,13.899999999999999
2025-04-25,barrie,44.393673,-79.66312,America/Toronto,18.4,8.4,0.0,18.2,barrie_weather_2026-04-12T17-07-49.json,9.999999999999998
2025-04-25,oshawa,43.90158,-79.09091,America/Toronto,14.4,9.1,0.0,16.4,oshawa_weather_2026-04-12T17-07-49.json,5.300000000000001
2025-04-25,toronto,43.690685,-79.41174,America/Toronto,13.4,10.4,0.1,16.9,toronto_weather_2026-04-12T17-07-49.json,3.0
2025-04-26,barrie,44.393673,-79.66312,America/Toronto,12.2,3.5,7.3,33.2,barrie_weather_2026-04-12T17-07-49.json,8.7
2025-04-26,oshawa,43.90158,-79.09091,America/Toronto,11.7,5.1,2.1,35.1,oshawa_weather_2026-04-12T17-07-49.json,6.6
2025-04-26,toronto,43.690685,-79.41174,America/Toronto,11.7,5.2,2.1,32.3,toronto_weather_2026-04-12T17-07-49.json,6.499999999999999
2025-04-27,barrie,44.393673,-79.66312,America/Toronto,12.7,2.8,0.0,23.4,barrie_weather_2026-04-12T17-07-49.json,9.899999999999999
2025-04-27,oshawa,43.90158,-79.09091,America/Toronto,15.6,4.7,0.1,28.6,oshawa_weather_2026-04-12T17-07-49.json,10.899999999999999
2025-04-27,toronto,43.690685,-79.41174,America/Toronto,16.6,4.8,0.0,20.6,toronto_weather_2026-04-12T17-07-49.json,11.8
2025-04-28,barrie,44.393673,-79.66312,America/Toronto,19.5,3.3,0.0,19.8,barrie_weather_2026-04-12T17-07-49.json,16.2
2025-04-28,oshawa,43.90158,-79.09091,America/Toronto,16.5,3.5,0.0,14.4,oshawa_weather_2026-04-12T17-07-49.json,13.0
2025-04-28,toronto,43.690685,-79.41174,America/Toronto,17.5,4.3,0.0,11.9,toronto_weather_2026-04-12T17-07-49.json,13.2
2025-04-29,barrie,44.393673,-79.66312,America/Toronto,25.9,3.5,4.5,37.3,barrie_weather_2026-04-12T17-07-49.json,22.4
2025-04-29,oshawa,43.90158,-79.09091,America/Toronto,23.0,6.2,0.2,34.6,oshawa_weather_2026-04-12T17-07-49.json,16.8
2025-04-29,toronto,43.690685,-79.41174,America/Toronto,24.0,7.3,0.3,28.4,toronto_weather_2026-04-12T17-07-49.json,16.7
2025-04-30,barrie,44.393673,-79.66312,America/Toronto,8.7,-0.7,0.0,27.6,barrie_weather_2026-04-12T17-07-49.json,9.399999999999999
2025-04-30,oshawa,43.90158,-79.09091,America/Toronto,11.0,0.8,0.0,35.9,oshawa_weather_2026-04-12T17-07-49.json,10.2
2025-04-30,toronto,43.690685,-79.41174,America/Toronto,10.0,1.1,0.0,26.0,toronto_weather_2026-04-12T17-07-49.json,8.9
2025-05-01,barrie,44.393673,-79.66312,America/Toronto,10.4,3.5,6.7,23.3,barrie_weather_2026-04-12T17-07-49.json,6.9
2025-05-01,oshawa,43.90158,-79.09091,America/Toronto,10.9,2.6,7.9,21.1,oshawa_weather_2026-04-12T17-07-49.json,8.3
2025-05-01,toronto,43.690685,-79.41174,America/Toronto,9.2,5.2,10.1,19.7,toronto_weather_2026-04-12T17-07-49.json,3.999999999999999
2025-05-02,barrie,44.393673,-79.66312,America/Toronto,13.1,5.1,0.0,23.2,barrie_weather_2026-04-12T17-07-49.json,8.0
2025-05-02,oshawa,43.90158,-79.09091,America/Toronto,19.0,7.8,2.2,24.2,oshawa_weather_2026-04-12T17-07-49.json,11.2
2025-05-02,toronto,43.690685,-79.41174,America/Toronto,19.8,6.8,1.7,21.9,toronto_weather_2026-04-12T17-07-49.json,13.0
2025-05-03,barrie,44.393673,-79.66312,America/Toronto,11.1,3.6,0.0,15.9,barrie_weather_2026-04-12T17-07-49.json,7.5
2025-05-03,oshawa,43.90158,-79.09091,America/Toronto,12.2,6.2,0.7,16.7,oshawa_weather_2026-04-12T17-07-49.json,5.999999999999999
2025-05-03,toronto,43.690685,-79.41174,America/Toronto,11.6,6.6,1.3,12.2,toronto_weather_2026-04-12T17-07-49.json,5.0
2025-05-04,barrie,44.393673,-79.66312,America/Toronto,17.8,3.4,0.0,16.3,barrie_weather_2026-04-12T17-07-49.json,14.4
2025-05-04,oshawa,43.90158,-79.09091,America/Toronto,16.2,5.8,0.0,15.7,oshawa_weather_2026-04-12T17-07-49.json,10.399999999999999
2025-05-04,toronto,43.690685,-79.41174,America/Toronto,14.2,6.2,1.5,16.0,toronto_weather_2026-04-12T17-07-49.json,7.999999999999999
2025-05-05,barrie,44.393673,-79.66312,America/Toronto,17.7,9.6,1.2,21.6,barrie_weather_2026-04-12T17-07-49.json,8.1
2025-05-05,oshawa,43.90158,-79.09091,America/Toronto,18.9,9.9,5.7,24.3,oshawa_weather_2026-04-12T17-07-49.json,8.999999999999998
2025-05-05,toronto,43.690685,-79.41174,America/Toronto,15.2,9.9,31.6,23.8,toronto_weather_2026-04-12T17-07-49.json,5.299999999999999
2025-05-06,barrie,44.393673,-79.66312,America/Toronto,19.5,10.9,1.2,18.2,barrie_weather_2026-04-12T17-07-49.json,8.6
2025-05-06,oshawa,43.90158,-79.09091,America/Toronto,18.5,10.6,3.4,23.8,oshawa_weather_2026-04-12T17-07-49.json,7.9
2025-05-06,toronto,43.690685,-79.41174,America/Toronto,17.2,8.8,4.1,23.1,toronto_weather_2026-04-12T17-07-49.json,8.399999999999999
2025-05-07,barrie,44.393673,-79.66312,America/Toronto,14.8,6.5,0.0,22.2,barrie_weather_2026-04-12T17-07-49.json,8.3
2025-05-07,oshawa,43.90158,-79.09091,America/Toronto,19.8,10.7,0.5,22.5,oshawa_weather_2026-04-12T17-07-49.json,9.100000000000001
2025-05-07,toronto,43.690685,-79.41174,America/Toronto,21.2,10.2,0.3,19.6,toronto_weather_2026-04-12T17-07-49.json,11.0
2025-05-08,barrie,44.393673,-79.66312,America/Toronto,11.5,4.1,0.0,16.1,barrie_weather_2026-04-12T17-07-49.json,7.4
2025-05-08,oshawa,43.90158,-79.09091,America/Toronto,11.4,4.8,0.1,19.5,oshawa_weather_2026-04-12T17-07-49.json,6.6000000000000005
2025-05-08,toronto,43.690685,-79.41174,America/Toronto,10.6,6.7,0.1,17.8,toronto_weather_2026-04-12T17-07-49.json,3.8999999999999995
2025-05-09,barrie,44.393673,-79.66312,America/Toronto,14.1,4.2,0.0,18.4,barrie_weather_2026-04-12T17-07-49.json,9.899999999999999
2025-05-09,oshawa,43.90158,-79.09091,America/Toronto,14.4,3.2,0.0,15.6,oshawa_weather_2026-04-12T17-07-49.json,11.2
2025-05-09,toronto,43.690685,-79.41174,America/Toronto,13.8,4.5,0.0,12.2,toronto_weather_2026-04-12T17-07-49.json,9.3
2025-05-10,barrie,44.393673,-79.66312,America/Toronto,18.1,5.4,0.0,20.8,barrie_weather_2026-04-12T17-07-49.json,12.700000000000001
2025-05-10,oshawa,43.90158,-79.09091,America/Toronto,21.2,5.8,0.0,22.6,oshawa_weather_2026-04-12T17-07-49.json,15.399999999999999
2025-05-10,toronto,43.690685,-79.41174,America/Toronto,19.9,5.4,0.0,19.7,toronto_weather_2026-04-12T17-07-49.json,14.499999999999998
2025-05-11,barrie,44.393673,-79.66312,America/Toronto,15.8,2.5,0.0,16.0,barrie_weather_2026-04-12T17-07-49.json,13.3
