date,ontario_demand_avg_mw,ontario_demand_peak_mw,ontario_demand_min_mw,ontario_demand_std_mw,market_demand_avg_mw,ontario_peak_hour,demand_range_mw
2025-06-25,20020.5,22693,16722,2034.8990787922528,22439.458333333332,17,5971
2025-06-26,16754.541666666668,18060,14329,1113.2233644053529,20108.0,12,3731
2025-06-27,16949.416666666668,20251,13146,2403.0255370852938,20195.375,18,7105
2025-06-28,16824.708333333332,18966,14253,1817.125955270806,19197.083333333332,18,4713
2025-06-29,16195.916666666666,20352,12582,2672.2163560653526,18397.666666666668,19,7770
2025-06-30,17128.666666666668,19565,13264,2366.290210924863,19330.25,13,6301
2025-07-01,17889.791666666668,21018,14156,2461.5313716953883,20216.458333333332,18,6862
2025-07-02,18406.416666666668,21901,13770,2931.9624666419413,20274.708333333332,17,8131
2025-07-03,17490.75,20291,14230,2017.136999292078,19450.666666666668,18,6061
2025-07-04,16763.916666666668,20495,13131,2448.862378590385,18471.875,18,7364
2025-07-05,17984.708333333332,22019,13225,3199.4836061487313,19923.291666666668,18,8794
2025-07-06,19425.333333333332,22740,14680,2957.8773332984215,21216.958333333332,19,8060
2025-07-07,19605.208333333332,21832,16641,1903.4918708878772,22051.541666666668,15,5191
2025-07-08,18145.041666666668,21263,14642,2217.3613084252743,20827.708333333332,19,6621
2025-07-09,18195.333333333332,21727,14302,2418.650623918161,20062.416666666668,17,7425
2025-07-10,19043.291666666668,22884,14316,2988.2332060668505,20288.458333333332,17,8568
2025-07-11,19432.833333333332,22481,14884,2737.5346520207722,20778.125,18,7597
2025-07-12,19643.958333333332,22837,15213,2795.1728495851485,21324.458333333332,18,7624
2025-07-13,19490.333333333332,22918,15793,2464.5972713903857,20550.291666666668,18,7125
2025-07-14,19510.625,22914,15149,2735.2250811524113,20708.0,17,7765
2025-07-15,19872.25,23261,14941,3075.3634249714587,21314.0,17,8320
2025-07-16,20439.208333333332,23611,15292,3009.405906691864,22251.0,15,8319
2025-07-17,18966.083333333332,21217,14829,1916.8622212778673,21906.25,14,6388
2025-07-18,16232.166666666666,19204,13137,1982.624450102673,19300.083333333332,19,6067
2025-07-19,16088.0,19450,12729,2321.228479097633,19017.291666666668,17,6721
2025-07-20,16946.208333333332,20177,13764,2259.698882963539,19618.208333333332,18,6413
2025-07-21,16404.208333333332,19582,13253,2022.5405672110728,19071.958333333332,18,6329
2025-07-22,16571.416666666668,19907,12905,2344.2435864802155,18995.583333333332,18,7002
2025-07-23,17731.291666666668,22095,13338,2958.9637651390362,19768.125,18,8757
2025-07-24,19939.75,24528,14005,3769.7239346506863,22264.208333333332,19,10523
2025-07-25,20082.583333333332,23055,16410,2432.4802678795118,22215.041666666668,17,6645
2025-07-26,18632.541666666668,21911,14548,2689.191327925258,20094.958333333332,15,7363
2025-07-27,19553.75,23347,15323,2951.6795845018864,20516.625,18,8024
2025-07-28,20808.541666666668,24211,15706,3129.1085545270703,22181.833333333332,16,8505
2025-07-29,20724.291666666668,23607,16639,2538.7128453670935,22009.375,18,6968
2025-07-30,19739.333333333332,23048,15913,2561.3128540324556,21680.333333333332,15,7135
2025-07-31,16829.25,19080,14278,1568.474702156317,19851.583333333332,17,4802
2025-08-01,16165.083333333334,18689,13216,1854.9152076405628,18614.791666666668,19,5473
2025-08-02,15549.625,18854,12660,2111.469564740654,17543.708333333332,18,6194
2025-08-03,16140.25,19854,12602,2571.3283532057903,17787.958333333332,18,7252
2025-08-04,16905.083333333332,20900,13121,2771.876666380234,18647.916666666668,17,7779
2025-08-05,18426.708333333332,22514,13812,2971.254872932906,19932.166666666668,18,8702
2025-08-06,18719.875,22638,14453,2828.020437053328,20259.0,17,8185
2025-08-07,19038.041666666668,22703,14771,2763.285276609626,20301.458333333332,17,7932
2025-08-08,19273.708333333332,22643,14756,2820.329929499717,20618.666666666668,16,7887
2025-08-09,19473.708333333332,23248,14810,3173.8389931926517,20904.375,18,8438
2025-08-10,20027.583333333332,24063,15092,3299.3907463502196,21174.083333333332,18,8971
2025-08-11,21275.125,24789,16089,3160.825928284098,22338.125,18,8700
2025-08-12,21274.75,24006,17087,2542.437468770607,22268.25,13,6919
2025-08-13,20333.291666666668,23843,16681,2484.2046488401147,21466.833333333332,17,7162
2025-08-14,19179.625,22949,14950,2781.7492277889373,20483.25,18,7999
2025-08-15,19167.583333333332,23257,14654,2981.8800156170314,20588.958333333332,17,8603
2025-08-16,18977.958333333332,23079,14550,3088.9225851935557,20200.791666666668,18,8529
2025-08-17,17224.083333333332,19103,14430,1446.5779384063821,20070.25,18,4673
2025-08-18,16009.875,18932,12834,1940.5135427980415,19066.583333333332,17,6098
2025-08-19,16349.416666666666,18418,13283,1841.3617106031509,19001.541666666668,17,5135
2025-08-20,16477.375,18222,13876,1482.376376911777,18915.291666666668,20,4346
2025-08-21,16620.208333333332,19597,13371,2076.332426663537,18602.75,18,6226
2025-08-22,17388.333333333332,20922,13681,2538.7388801232164,18989.958333333332,17,7241
2025-08-23,16345.125,18466,13382,1864.781216040009,18269.541666666668,17,5084
2025-08-24,15735.083333333334,18610,12931,1965.4576171791489,17536.083333333332,18,5679
2025-08-25,15607.125,17804,12929,1630.5669676126668,17762.541666666668,18,4875
2025-08-26,15129.208333333334,17083,12717,1456.3057783060312,17083.875,20,4366
2025-08-27,15105.166666666666,17396,12512,1575.7523438901687,16836.0,18,4884
2025-08-28,15384.916666666666,17028,12601,1643.1718245294787,17448.0,20,4427
2025-08-29,14757.083333333334,16330,12751,1192.1235315573438,16653.708333333332,20,3579
2025-08-30,13927.916666666666,15809,12170,1149.9528125164488,15569.0,18,3639
2025-08-31,14020.875,16710,12133,1500.8615297627355,15541.083333333334,18,4577
